0,Condition,Drugname,Value
0,ADHD,Adderall,0.063206278
1,ADHD,Adderall XR,0.050290647
2,ADHD,Adzenys XR-ODT,0.008774762
3,ADHD,Amantadine,0.011208238
4,ADHD,Amphetamine,0.016205124
5,ADHD,Amphetamine / dextroamphetamine,0.048868524
6,ADHD,Aptensio XR,0.01260387
7,ADHD,Armodafinil,0.001994029
8,ADHD,Atomoxetine,0.055650876
9,ADHD,Bupropion,0.11620137
10,ADHD,Catapres,0.056113823
11,ADHD,Clonidine,0.100790186
12,ADHD,Concerta,0.05263592
13,ADHD,Cylert,0.019476663
14,ADHD,Daytrana,0.031974197
15,ADHD,Desoxyn,0.118295773
16,ADHD,Desvenlafaxine,0.026307467
17,ADHD,Dexedrine,0.069717791
18,ADHD,Dexmethylphenidate,0.048641895
19,ADHD,Dextroamphetamine,0.052963231
20,ADHD,Dextrostat,0.050741428
21,ADHD,Dyanavel XR,0.01782074
22,ADHD,Evekeo,0.01654556
23,ADHD,Focalin,0.045177458
24,ADHD,Focalin XR,0.047307568
25,ADHD,Guanfacine,0.056202125
26,ADHD,Intuniv,0.0850395
27,ADHD,Kapvay,0.114185306
28,ADHD,Lisdexamfetamine,0.05186876
29,ADHD,Metadate CD,0.058786936
30,ADHD,Methamphetamine,0.086509336
31,ADHD,Methylin,0.029286243
32,ADHD,Methylin ER,0.044327628
33,ADHD,Methylphenidate,0.04443819
34,ADHD,Modafinil,0.057521012
35,ADHD,Mydayis,0.00795848
36,ADHD,Nuvigil,0.057503134
37,ADHD,Omega-3 polyunsaturated fatty acids,0.080370872
38,ADHD,Pemoline,0.026546978
39,ADHD,ProCentra,0.001209555
40,ADHD,Provigil,0.1755171
41,ADHD,Quillivant XR,0.009987145
42,ADHD,Ritalin,0.053648784
43,ADHD,Ritalin LA,0.034489039
44,ADHD,Strattera,0.05093985
45,ADHD,Tenex,0.006142654
46,ADHD,Vyvanse,0.051641634
47,ADHD,Wellbutrin,0.009298745
48,ADHD,Wellbutrin SR,0.269553279
49,ADHD,Wellbutrin XL,0.093834232
50,ADHD,Zenzedi,0.016614785
51,AIDS Related Wasting,Dronabinol,0
52,AIDS Related Wasting,Marinol,0
53,AIDS Related Wasting,Serostim,0.78999269
54,AV Heart Block,Epinephrine,0
55,Abdominal Distension,Urecholine,13.00693864
56,Abnormal Uterine Bleeding,Alesse,0.011037436
57,Abnormal Uterine Bleeding,Amethia Lo,7.45E-06
58,Abnormal Uterine Bleeding,Aviane,0.005923854
59,Abnormal Uterine Bleeding,Aygestin,0.011147518
60,Abnormal Uterine Bleeding,Balziva,0.002755291
61,Abnormal Uterine Bleeding,CamreseLo,0.005523452
62,Abnormal Uterine Bleeding,Conjugated estrogens,0.000623809
63,Abnormal Uterine Bleeding,Cryselle,0.009248578
64,Abnormal Uterine Bleeding,Depo-Provera,0.019315538
65,Abnormal Uterine Bleeding,Desogestrel / ethinyl estradiol,0.006288536
66,Abnormal Uterine Bleeding,Errin,0.01348404
67,Abnormal Uterine Bleeding,Estarylla,0.002666361
68,Abnormal Uterine Bleeding,Ethinyl estradiol / etonogestrel,0
69,Abnormal Uterine Bleeding,Ethinyl estradiol / levonorgestrel,0.009616564
70,Abnormal Uterine Bleeding,Ethinyl estradiol / norethindrone,0.016442365
71,Abnormal Uterine Bleeding,Ethinyl estradiol / norgestimate,0.011046426
72,Abnormal Uterine Bleeding,Ethinyl estradiol / norgestrel,0.00750372
73,Abnormal Uterine Bleeding,Falmina,0.004024506
74,Abnormal Uterine Bleeding,Gildess Fe 1 / 20,0.000557874
75,Abnormal Uterine Bleeding,Gildess Fe 1.5 / 30,0.036956582
76,Abnormal Uterine Bleeding,Jolessa,0.04365656
77,Abnormal Uterine Bleeding,Jolivette,0.033587095
78,Abnormal Uterine Bleeding,Junel Fe 1 / 20,0.037566431
79,Abnormal Uterine Bleeding,Levlen,0.013715798
80,Abnormal Uterine Bleeding,Levonorgestrel,0.030841463
81,Abnormal Uterine Bleeding,Levora,0.011028504
82,Abnormal Uterine Bleeding,LoSeasonique,0.008273037
83,Abnormal Uterine Bleeding,Loestrin 21 1 / 20,0.006616766
84,Abnormal Uterine Bleeding,Loestrin 24 Fe,0.024624258
85,Abnormal Uterine Bleeding,Low-Ogestrel-21,0.013258744
86,Abnormal Uterine Bleeding,Lutera,0.019091153
87,Abnormal Uterine Bleeding,Lyza,0.004422833
88,Abnormal Uterine Bleeding,Medroxyprogesterone,0.026116144
89,Abnormal Uterine Bleeding,Megace,0.232297648
90,Abnormal Uterine Bleeding,Megestrol,0.042051006
91,Abnormal Uterine Bleeding,Microgestin 1 / 20,0.001666766
92,Abnormal Uterine Bleeding,Microgestin Fe 1 / 20,0.00565277
93,Abnormal Uterine Bleeding,Mirena,0.030242309
94,Abnormal Uterine Bleeding,Mononessa,0.017485475
95,Abnormal Uterine Bleeding,Necon 1 / 50,0
96,Abnormal Uterine Bleeding,Nora-Be,0.050312332
97,Abnormal Uterine Bleeding,Norethindrone,0.016909669
98,Abnormal Uterine Bleeding,Orsythia,0.002741096
99,Abnormal Uterine Bleeding,Ortho Micronor,0.040055272
100,Abnormal Uterine Bleeding,Ortho Tri-Cyclen,0.006524154
101,Abnormal Uterine Bleeding,Ortho Tri-Cyclen Lo,0.014720137
102,Abnormal Uterine Bleeding,Ovcon 35,0.049712422
103,Abnormal Uterine Bleeding,Premarin,0
104,Abnormal Uterine Bleeding,Previfem,0
